,organization_name,repo_full_name,contributors_num,is_fork,active_15,active_16,active_17,active_18,active_19,active_20,active_21,active_22,use_CI,ci_num
11060,bilibili,rules_proto,24,True,False,False,False,True,True,False,False,False,True,
11061,Yelp.com,rules_proto,28,True,False,False,False,True,True,True,True,False,True,
11062,Google,df-conformer,0,False,False,False,False,False,False,False,True,True,False,
11063,Google,motive,10,False,False,False,True,True,True,False,False,False,False,
11064,"Wuhan deepin Technology Co.,Ltd.",action-conventionalcommits-checker,1,False,False,False,False,False,False,False,False,True,False,0.0
11065,Yahoo,ycb-java,6,False,True,True,True,True,True,True,True,False,True,1.0
11066,Red Hat Developer,redhat-datagrid-tutorials,13,False,False,False,False,False,True,True,True,True,True,
11067,International Business Machines,UQ-climate-impact-benchmarking,3,False,False,False,False,False,False,False,False,True,False,
11068,Google,gdata-java-client,2,False,True,False,False,False,False,False,False,False,False,
11069,Dell Technologies,csi-baremetal-scheduling,3,False,False,False,False,False,False,False,True,False,True,
11070,Alibaba,TMViewTrackerSDK,1,False,False,False,True,False,False,False,False,False,False,0.0
11071,Yelp.com,yelp-ios,7,False,False,True,True,True,True,False,False,False,True,
11072,Mirantis Inc.,python-aptly,8,False,True,True,True,True,False,False,False,False,False,0.0
11073,Alibaba,druid,182,False,False,False,False,False,False,False,False,True,True,1.0
11074,Pinterest,druid,369,True,False,False,False,False,False,False,True,True,True,1.0
11075,"Wuhan deepin Technology Co.,Ltd.",dde-kwin,26,False,False,False,False,False,False,False,True,True,True,11.0
11076,HUAWEI,OpenStackClient_KMS,2,False,False,False,True,False,False,False,False,False,False,0.0
11077,Intel Corporation,ivsc-firmware,1,False,False,False,False,False,False,False,False,True,False,
11078,Square,border_patrol,7,False,False,False,False,False,False,False,False,False,True,
11079,International Business Machines,social-campaign-manager,1,False,False,False,False,False,False,True,True,False,False,
11080,DiDi,chameleon,7,False,False,False,False,False,False,True,True,False,True,1.0
11081,Cisco Systems,webex-assistant-sdk,8,False,False,False,False,False,False,False,True,True,True,1.0
11082,FacePlusPlus,facepp-matlab-sdk,1,False,False,False,False,False,False,False,False,False,False,0.0
11083,VIPS,rdp,2,False,False,False,False,True,True,False,False,False,False,0.0
11084,Google,webcrypto.dart,9,False,False,False,False,False,False,True,True,True,True,
11085,International Business Machines,dWTVAdvancedApp,3,False,False,False,False,True,True,True,True,True,False,
11086,International Business Machines,spring-features,2,False,False,False,False,False,False,False,True,False,True,
11087,Tencent,iHearing,0,False,False,False,False,False,True,False,False,False,False,0.0
11088,Qihoo 360,artdumper,1,False,True,False,False,False,False,False,False,False,False,0.0
11089,Meta,SPARTA,19,False,False,False,False,False,False,True,True,True,True,
11090,easemob,FUEaseIMDemoAndroid,1,True,False,False,False,False,False,True,False,False,False,
11091,VMware,vcd-ext-sdk,20,False,False,False,False,False,False,True,True,True,True,
11092,International Business Machines,MaximoForgeViewerPlugin,1,False,False,False,True,True,True,True,True,False,False,
11093,International Business Machines,resilient-java-microservices-with-istio,10,False,False,False,True,True,False,False,False,False,True,
11094,Salesforce,salesforce-risk,3,False,False,False,False,False,False,True,True,False,False,
11095,Alibaba,dragonwell8_corba,5,False,False,False,False,False,False,True,True,True,False,0.0
11096,iuap-design,compox,2,False,False,False,True,False,False,False,False,False,True,1.0
11097,Dell Technologies,EUCTechHub,4,False,False,False,False,False,False,False,False,True,False,
11098,VMware,splinterdb,10,False,False,False,False,False,False,False,False,True,False,
